requested_code,indicator_code,indicator_name,region_code,region_name,year,value,display_value,has_data
A0G0E,A0G0E01,快递量,110000,北京市,2016,196029.0209,196029.02,True
A0G0E,A0G0E01,快递量,110000,北京市,2017,227452.1,227452.10,True
A0G0E,A0G0E01,快递量,110000,北京市,2018,220875.6167,220875.62,True
A0G0E,A0G0E01,快递量,110000,北京市,2019,228716.4322,228716.43,True
A0G0E,A0G0E01,快递量,110000,北京市,2020,238221.3268,238221.33,True
A0G0E,A0G0E01,快递量,110000,北京市,2021,221030.0,221030.00,True
A0G0E,A0G0E01,快递量,110000,北京市,2022,195628.5072,195628.51,True
A0G0E,A0G0E01,快递量,110000,北京市,2023,227115.2,227115.20,True
A0G0E,A0G0E01,快递量,110000,北京市,2024,269050.4,269050.40,True
A0G0E,A0G0E01,快递量,120000,天津市,2016,41005.3547,41005.35,True
A0G0E,A0G0E01,快递量,120000,天津市,2017,50199.02,50199.02,True
A0G0E,A0G0E01,快递量,120000,天津市,2018,57576.6928,57576.69,True
A0G0E,A0G0E01,快递量,120000,天津市,2019,69733.0191,69733.02,True
A0G0E,A0G0E01,快递量,120000,天津市,2020,92767.3644,92767.36,True
A0G0E,A0G0E01,快递量,120000,天津市,2021,123389.99,123389.99,True
A0G0E,A0G0E01,快递量,120000,天津市,2022,121552.934,121552.93,True
A0G0E,A0G0E01,快递量,120000,天津市,2023,145024.6,145024.60,True
A0G0E,A0G0E01,快递量,120000,天津市,2024,193901.8,193901.80,True
A0G0E,A0G0E01,快递量,130000,河北省,2016,90392.3915,90392.39,True
A0G0E,A0G0E01,快递量,130000,河北省,2017,119389.3,119389.30,True
A0G0E,A0G0E01,快递量,130000,河北省,2018,174136.2212,174136.22,True
A0G0E,A0G0E01,快递量,130000,河北省,2019,230392.651,230392.65,True
A0G0E,A0G0E01,快递量,130000,河北省,2020,370249.8025,370249.80,True
A0G0E,A0G0E01,快递量,130000,河北省,2021,506015.03,506015.03,True
A0G0E,A0G0E01,快递量,130000,河北省,2022,526888.9873,526888.99,True
A0G0E,A0G0E01,快递量,130000,河北省,2023,660073.0,660073.00,True
A0G0E,A0G0E01,快递量,130000,河北省,2024,953990.4,953990.40,True
A0G0E,A0G0E01,快递量,140000,山西省,2016,18665.2483,18665.25,True
A0G0E,A0G0E01,快递量,140000,山西省,2017,24359.07,24359.07,True
A0G0E,A0G0E01,快递量,140000,山西省,2018,30332.873,30332.87,True
A0G0E,A0G0E01,快递量,140000,山西省,2019,36413.7798,36413.78,True
A0G0E,A0G0E01,快递量,140000,山西省,2020,53583.5622,53583.56,True
A0G0E,A0G0E01,快递量,140000,山西省,2021,78131.42,78131.42,True
A0G0E,A0G0E01,快递量,140000,山西省,2022,70584.9741,70584.97,True
A0G0E,A0G0E01,快递量,140000,山西省,2023,110445.8,110445.80,True
A0G0E,A0G0E01,快递量,140000,山西省,2024,154516.6,154516.60,True
A0G0E,A0G0E01,快递量,150000,内蒙古自治区,2016,8470.6356,8470.64,True
A0G0E,A0G0E01,快递量,150000,内蒙古自治区,2017,11035.31,11035.31,True
A0G0E,A0G0E01,快递量,150000,内蒙古自治区,2018,15182.3216,15182.32,True
A0G0E,A0G0E01,快递量,150000,内蒙古自治区,2019,14263.2438,14263.24,True
A0G0E,A0G0E01,快递量,150000,内蒙古自治区,2020,19557.5666,19557.57,True
A0G0E,A0G0E01,快递量,150000,内蒙古自治区,2021,26085.97,26085.97,True
A0G0E,A0G0E01,快递量,150000,内蒙古自治区,2022,24213.5153,24213.52,True
A0G0E,A0G0E01,快递量,150000,内蒙古自治区,2023,36570.5,36570.50,True
A0G0E,A0G0E01,快递量,150000,内蒙古自治区,2024,57749.8,57749.80,True
A0G0E,A0G0E01,快递量,210000,辽宁省,2016,39825.8902,39825.89,True
A0G0E,A0G0E01,快递量,210000,辽宁省,2017,51434.46,51434.46,True
A0G0E,A0G0E01,快递量,210000,辽宁省,2018,65363.6794,65363.68,True
A0G0E,A0G0E01,快递量,210000,辽宁省,2019,79515.6548,79515.65,True
A0G0E,A0G0E01,快递量,210000,辽宁省,2020,111978.0061,111978.01,True
A0G0E,A0G0E01,快递量,210000,辽宁省,2021,164328.1,164328.10,True
A0G0E,A0G0E01,快递量,210000,辽宁省,2022,171216.7437,171216.74,True
A0G0E,A0G0E01,快递量,210000,辽宁省,2023,218251.4,218251.40,True
A0G0E,A0G0E01,快递量,210000,辽宁省,2024,291979.0,291979.00,True
A0G0E,A0G0E01,快递量,220000,吉林省,2016,13893.9782,13893.98,True
A0G0E,A0G0E01,快递量,220000,吉林省,2017,17569.4,17569.40,True
A0G0E,A0G0E01,快递量,220000,吉林省,2018,22637.5495,22637.55,True
A0G0E,A0G0E01,快递量,220000,吉林省,2019,30662.037,30662.04,True
